HS2,HS4,HS6,description
27,2710,271019,Medium oils not containing biodiesel
76,7610,761090,Aluminum structures and parts of structures 
32,3208,320890,"Paints and varnishes based, incl. enamels and lacquers"
34,3403,340399,Anti-rust lubricant preparations
61,6113,611300,Garments coated or covered with plastics
62,6210,621040,Rubberised men's garments
42,4203,420310,Leather apparel 
29,2934,293499,Nucleic acids and their salts
62,6204,620449,Women's dresses
43,4303,430310,Furskin apparel
07,0713,071310,"*Dried, shelled peas"
20,2009,200989,*Unfermented fruit / vegetables juice
20,2005,200580,*Sweetcorn
07,0709,070960,Fresh or chilled fruits of the genus Capsicum or Pimenta
03,0302,030213,Fresh or chilled Pacific salmon
08,0811,081120,"*Frozen raspberries, blackberries, etc"
03,0303,030312,Frozen Pacific salmon
15,1515,151511,*Crude linseed oil
03,0303,030366,Frozen hake
44,4408,440810,Sheets for veneering (incl. obtained by slicing laminated wood)
03,0303,030390,Frozen fish livers
03,0304,030481,Frozen  pacific salmon fillets
01,0101,010129,Live horses
03,0303,030391,"Frozen fish livers, roes and milt"
03,0305,030541,Smoked Pacific salmon
15,1515,151519,Linseed oil
20,2008,200811,*Groundnuts
21,2106,210610,*Protein textured and concentrates
08,0810,081030,*Fresh redcurrants and gooseberries
03,0302,030214,Fresh/chilled Atlantic salmon
03,0303,030339,Frozen flat fish
16,1604,160411,Prepared / preserved salmon
21,2103,210330,Mustard flour and meal
03,0307,030731,"Live, fresh or chilled, not smoked, mussels"
03,0307,030791,"Live, fresh or chilled molluscs"
22,2207,220710,Undenatured ethyl alcohol strength of >= 80%
03,0306,030616,Frozen cold-water shrimps / prawns
28,2829,282911,Chlorate of sodium
38,3824,382440,Prepared additives for cements
19,1905,190531,Sweet biscuits
03,0304,030486,Frozen fillets of herring
03,0302,030231,Fresh or chilled albacore or longfinned tunas
03,0305,030569,Salted or in brine Fish
03,0302,030291,Fresh or chilled fish liverz
03,0303,030363,Frozen cod
04,0408,040819,Egg yolks
20,2008,200893,*Cranberries
03,0303,030341,Frozen albacore / longfinned tunas
03,0303,030311,Frozen sockeye salmon
03,0304,030441,Fresh / chilled Pacific salmon fillets
03,0303,030351,Frozen herrings
28,2825,282560,Germanium oxides / zirconium dioxide
17,1702,170220,Maple sugar and maple syrup
12,1208,120890,*Flours and meal of oil seeds or oleaginous fruit (excl. soya and mustard)
07,0713,071340,"*Dried, shelled lentils, whether or not skinned or split"
10,1002,100290,*Rye
07,0713,071332,"*Dried shelled ""Adzuki"" beans"
09,0909,090921,Coriander seeds
15,1514,151499,*Canola oil erucic acid >= 2%
15,1514,151491,*Canola oil erucic acid >= 2%
15,1514,151411,Crude canola oil erucic acid < 2%
03,0307,030729,"Scallops, smoked, frozen etc."
07,0711,071159,Mushrooms preserved
35,3503,350300,Gelatin
62,6210,621020,"Garments in subheading 6201,11 to 6201,19"
76,7613,761300,Aluminium containers for compressed or liquefied gas
75,7504,750400,"Powders and flakes, of nickel (excl. nickel oxide sinters)"
28,2849,284990,Carbides
75,7502,750210,"Nickel, not alloyed, unwrought"
07,0713,071339,"*Dried, shelled beans"
07,0713,071333,"*Dried, shelled kidney beans"
03,0305,030520,Dried fish livers
10,1005,100590,*Maize
38,3821,382100,Prepared culture media for micro-organisms and viruses
08,0813,081340,"*Dried peaches, pears, papaws ""papayas"", tamarinds and other edible fruits"
05,0511,051191,Products of fish or crustaceans
11,1104,110412,*Rolled or flaked oats
23,2309,230910,"*Dog or cat food, put up for retail sale"
08,0810,081010,Fresh strawberries
22,2204,220421,"*Wine, fermentation arrested ..."
56,5602,560210,Needleloom felt
03,0308,030822,Frozen sea urchins
41,4101,410190,Split raw hides
03,0308,030829,"Smoked, frozen, dried, salted or in brine, sea urchins"
41,4101,410150,Beef/horse hides
03,0303,030399,"Frozen fish fins, heads, tails, offal"
22,2204,220410,Sparkling grape wine
