HS_2,HS_4,HS6 Code,Description,ROC Export to Japan Baseline,BC Export to Japan Baseline,AB Export to Japan Baseline,SK Export to Japan Baseline,MB Export to Japan Baseline,Western Canada Exports to Japan Baseline,Total CDN export to Japan Baseline,ROC Gain - No Export Promotion ,ROC Gain %,BC Gain - no export promotion,BC%,AB Gain - no export promotion,AB%,SK Gain - no export promotion,SK%,MB Gain - no export promotion,MB%,Western Canada Gain - no export promotion,Western Canada Gain %,Total Canada Gain - no export promotion,Total Canada Gain %,West Exports to Japan as % of total West Exports (Pre-TPP),West Exports to Japan as % of total West Exports (Post-TPP),Canada export change with China,Canada export change with EU,Canada export change with USA,Australia's export to Japan Change,Brunei's export to Japan  Change,Chile's export to Japan Change,Japan's export to Japan Change (internal trade change),Malaysia's export to Japan Change,Mexico's export to Japan Change,New Zealand's export to Japan Change,Peru's export to Japan Change,Singapore's export to Japan Change,Vietnam's export to Japan Change,China's export to Japan Change,EU's export to Japan Change,USA's export to Japan Change,ROW's export to Japan Change,Japan Rate for Canada TPP,Japan Rate for China  ,Japan Rate for EU28 ,Japan Rate for USA (OLD),Japan Rate for ROW
'02,'0203,'020319,*Fresh or chilled pork,168341.300233527,20451.3007384343,136433.224455737,32.766411001729,284436.071847413,441353.363452586,609694.663686113,566644.050494271,336.604297167843%,54852.6355800252,268.210987073992%,254658.431722586,186.65426455944%,150.722313722083,459.990304443567%,372647.25034918,131.012655296789%,682309.039965513,154.594729861804%,1248953.09045978,204.848945685176%,61.5483868445298%,90.3858771586259%,-1507.16995557108,-122.039454109446,-277093.813725895,-7.15662443351548,0,0,-297533.998811166,0,-21430.6615181535,0,0,0,0,0,-324.52732307252,-360545.903187841,-30514.2759340628,1,1.29411935806274,1.29411935806274,1.29411935806274,1.29411935806274
'02,'0203,'020329,*Frozen pork,85467.0456988542,9051.91963416787,20643.3982241384,10.2207629747086,51482.0996110317,81187.6382323127,166654.683931167,599052.496082968,700.916348733696%,68506.6270014177,756.818771819725%,103890.366017719,503.261938222164%,124.809710613282,1221.13888094387%,232751.003554355,452.100837597698%,405272.806284105,499.18043572649%,1004325.30236707,602.638508967373%,25.8746771042352%,84.8586922435409%,-107158.754512444,-1398.21595364888,-61386.7938654044,-703.481715106454,0,-23253.4118755048,-208113.35722926,0,-48733.291829315,0,0,0,0,0,-264155.716183929,-61757.9594913632,-8066.13654608017,1,1.41138675808907,1.41138675808907,1.41138675808907,1.41138675808907
'02,'0202,'020230,"*Frozen, boneless beef",8938.23622682951,7.89797894027734,39763.3524121043,0,14.1244677067587,39785.3748587513,48723.6110855808,50671.2958825058,566.904863516675%,47.0495869496194,595.716794200103%,135169.908801089,339.935897255842%,0,0,80.8497602833002,572.409254365125%,135297.808148322,340.069205401898%,185969.104030828,381.681693715561%,19.0992780193146%,56.6116137533057%,-15760.0206660131,-111.102540763609,-1352.88051227484,-94991.8177976069,0,-20.929139156802,-131020.674358038,0,-1569.51714914205,234983.589885713,0,0,0,0,-315.966881280172,-42547.857316801,-1187.78689077707,1.09,1.38499999046326,1.38499999046326,1.38499999046326,1.38499999046326
'02,'0206,'020649,*Frozen pork products,3180.95500494892,108.177329745468,3251.17489687518,0,5768.08461364288,9127.43684026353,12308.3918452125,52762.3987659939,1658.69679652514%,1722.27609060731,1592.08597093279%,28216.6604311833,867.891187838072%,0,0,53214.1037232929,922.561080283549%,83153.0402450835,911.022904900021%,135915.439011077,1104.2501792299%,12.3077456186089%,74.643021042597%,-23264.6364597499,-19.4261753593092,-12077.9770122699,-20.8348854449049,0,-131.986540022146,-43593.0138848848,0,-286.763388221783,0,0,0,0,0,-3277.91317642025,-24936.2199056457,-0.00396221436563742,1,1.61505329608917,1.62345325946808,1.62345325946808,1.62345325946808
'02,'0201,'020130,*Fresh or chilled boneless beef,8503.7037157653,2.66589488307479,13689.4599557007,0,0.00031281506342169,13692.1261633989,22195.8298791642,42626.8027801854,501.27337693055%,14.9563782829717,561.026557270754%,66035.7724783601,482.384058188218%,0,0,0.00158508140275026,506.715177143978%,66050.7304417245,482.399370656459%,108677.53322191,489.630411719494%,1.58321315044691%,8.82989595730763%,-2.13547021590696,-102.397864204004,-25622.7602734076,-51397.3364493127,0,-0.266996962433593,-91578.5381041281,0,-992.599633499325,171451.114607917,0,0,0,0,-51.5051772946218,-36073.3884846757,-669.986306255736,1.09,1.38499999046326,1.38499999046326,1.38499999046326,1.38499999046326
'07,'0713,'071332,"*Dried shelled ""Adzuki"" beans",13107.5016045225,0,15.4782981578897,19.9188811865522,0,35.3971793444419,13142.898783867,72813.7160274154,555.511784200677%,0,0,395.226851649747,2553.42575532627%,506.223647227982,2541.42610966398%,0,0,866.053319533287,2446.67325355481%,73679.7693469487,560.605164496826%,0.759657173631646%,17.4088800212746%,-0.731662037658079,-348.765389584082,-433.191565030048,-26.4051874345476,0,0,-26403.9504220589,0,0,0,0,0,0,-3328.07760905393,0,-204.423043516776,-1288.97192593507,1,2.63284695148468,2.63284695148468,2.63284695148468,2.63284695148468
'44,'4407,'440710,"Coniferous wood sawn or chipped lengthwise, sliced or peeled",612.503324461782,478286.563959294,29164.9161416481,4.50042659026446,110.517475234975,507566.498002767,508179.001327229,86.3126980969329,14.0917925911304%,61537.3714001714,12.8662136964%,3927.8031049799,13.4675617989209%,0.633936177167133,14.0861352685653%,15.3858241648159,13.9216211120492%,65481.1942654933,12.9010079513042%,65567.5069635903,12.9024431927225%,11.2602030983988%,12.627758731818%,-8239.46041812907,-1125.7961186059,-26835.0944481563,-16.1077101316864,0,-1429.29722744534,-16022.2757416952,-16.5382091234756,0,1824.61306854019,0,0,-8.30055875617779,-438.812468783495,-12760.1536769242,-1897.05827067969,-2425.82612010658,1,1.01439999975264,1.02400000020862,1.02400000020862,1.02400000020862
'07,'0713,'071310,"*Dried, shelled peas",72.2260743728611,7.86416922583711,962.145098879931,2939.85899838794,42.5354466649265,3952.40371315864,4024.6297875315,1137.77915324107,1575.30249722197%,131.670143824949,1674.30455835509%,14896.6813864359,1548.27805117728%,47999.3278818016,1632.70850432357%,705.857301196247,1659.45665683646%,63733.5367132587,1612.5259801035%,64871.3158664997,1611.85796684888%,0.383285237197571%,6.34534443835885%,-10573.2151662496,-447.205156372493,-1650.68838968167,-212.348479675507,0,0,-21068.6080381827,0,0,13524.629606255,0,0,-0.127958147768866,-128.382143329458,-1222.92909850676,-1351.64359590288,-379.059436327803,1,2.41473710536957,2.42473709583282,2.42473709583282,2.42473709583282
'02,'0206,'020610,*Fresh or chilled edible offal of beef,4579.77309048285,0.620625085828633,15654.8630434361,0,8.47305087778134,15663.9567193997,20243.7298098825,10239.0456630156,223.571025479258%,1.95159300775351,314.456030269518%,29097.3758836987,185.867968330128%,0,0,20.9674966613527,247.461002698983%,29120.2949733678,185.906380456877%,39359.3406363834,194.427316537139%,25.9312356243909%,59.4934048125699%,-2.18858720020344,-208.172941333208,-14088.9537054259,-1306.50783767157,0,0,-13750.6813592475,0,-56.6613605278361,3478.19486424621,0,0,0,-0.0311214284621673,-3.3602059646544,-10683.3869822062,-91.1851616612889,1.0225,1.24224999547005,1.24224999547005,1.24224999547005,1.24224999547005
'02,'0206,'020629,Frozen beef offal,3146.13244129798,16.6423870041608,7453.08290728817,0,8.30956414600339,7478.03485843833,10624.1672997363,9371.06358263065,297.859793174011%,52.8532823313043,317.582341512011%,19008.1084777402,255.036858092008%,0,0,25.7581720561249,309.982227750341%,19086.7199321277,255.237108323852%,28457.7835147583,267.858955077492%,11.4773065442272%,35.4890183158364%,-44.9927879483699,-23.7749532521904,-5655.09181692036,-6934.58645754945,0,-59.5598762044872,-15034.9206023101,0,-847.53099002293,18928.2291100671,0,0,0,0,-448.013669648597,-3507.17185157175,-0.00265375501293793,1.03,1.280333340168,1.280333340168,1.280333340168,1.280333340168
