Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,6,1,1,Import,392,Japan,JPN,124,Canada,CAN,,,,,,,,010129,"Horses; live, other than pure-bred breeding animals",5,Number of items,2765,,,,,,23297899,,,0
H5,2018,2018,2018,6,1,1,Import,392,Japan,JPN,124,Canada,CAN,,,,,,,,010129,"Horses; live, other than pure-bred breeding animals",5,Number of items,3844,,,,,,37219767,,,4
H5,2019,2019,2019,6,1,1,Import,392,Japan,JPN,124,Canada,CAN,,,,,,,,010129,"Horses; live, other than pure-bred breeding animals",5,Number of items,3257,,,,,,32314602,,,4
H5,2018,2018,2018,6,1,1,Import,392,Japan,JPN,124,Canada,CAN,,,,,,,,010310,"Swine; live, pure-bred breeding animals",5,Number of items,9,,,,7979,,41423,,,4
H5,2017,2017,2017,6,1,1,Import,392,Japan,JPN,124,Canada,CAN,,,,,,,,010392,"Swine; live, other than pure-bred breeding animals, weighing 50kg or more",5,Number of items,769,,,,841194,,1337991,,,4
H5,2018,2018,2018,6,1,1,Import,392,Japan,JPN,124,Canada,CAN,,,,,,,,010392,"Swine; live, other than pure-bred breeding animals, weighing 50kg or more",5,Number of items,142,,,,350335,,516651,,,4
H5,2019,2019,2019,6,1,1,Import,392,Japan,JPN,124,Canada,CAN,,,,,,,,010392,"Swine; live, other than pure-bred breeding animals, weighing 50kg or more",5,Number of items,217,,,,534956,,788917,,,4
H5,2017,2017,2017,6,1,1,Import,392,Japan,JPN,124,Canada,CAN,,,,,,,,010511,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g",5,Number of items,59600,,,,,,533345,,,4
H5,2018,2018,2018,6,1,1,Import,392,Japan,JPN,124,Canada,CAN,,,,,,,,010511,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g",5,Number of items,42135,,,,,,403954,,,4
H5,2019,2019,2019,6,1,1,Import,392,Japan,JPN,124,Canada,CAN,,,,,,,,010511,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g",5,Number of items,31902,,,,,,243510,,,4
H5,2017,2017,2017,6,1,1,Import,392,Japan,JPN,124,Canada,CAN,,,,,,,,010619,"Mammals; live, other than primates, whales, dolphins, porpoises (mammals of the order Cetacea); manatees, dugongs (mammals of the order Sirenia); seals, sea lions, walruses (mammals of the suborder Pinnipedia), camels, other camelids, rabbits and hares",1,No Quantity,0,,,,488,,100224,,,0
H5,2018,2018,2018,6,1,1,Import,392,Japan,JPN,124,Canada,CAN,,,,,,,,010619,"Mammals; live, other than primates, whales, dolphins, porpoises (mammals of the order Cetacea); manatees, dugongs (mammals of the order Sirenia); seals, sea lions, walruses (mammals of the suborder Pinnipedia), camels, other camelids, rabbits and hares",1,No Quantity,0,,,,211,,40554,,,2
H5,2019,2019,2019,6,1,1,Import,392,Japan,JPN,124,Canada,CAN,,,,,,,,010619,"Mammals; live, other than primates, whales, dolphins, porpoises (mammals of the order Cetacea); manatees, dugongs (mammals of the order Sirenia); seals, sea lions, walruses (mammals of the suborder Pinnipedia), camels, other camelids, rabbits and hares",1,No Quantity,0,,,,224,,48551,,,2
H5,2017,2017,2017,6,1,1,Import,392,Japan,JPN,124,Canada,CAN,,,,,,,,010620,Reptiles; live (including snakes and turtles),5,Number of items,10259,,,,488,,193279,,,2
H5,2018,2018,2018,6,1,1,Import,392,Japan,JPN,124,Canada,CAN,,,,,,,,010620,Reptiles; live (including snakes and turtles),5,Number of items,9084,,,,364,,172045,,,2
H5,2019,2019,2019,6,1,1,Import,392,Japan,JPN,124,Canada,CAN,,,,,,,,010620,Reptiles; live (including snakes and turtles),5,Number of items,7315,,,,247,,138553,,,2
H5,2017,2017,2017,6,1,1,Import,392,Japan,JPN,124,Canada,CAN,,,,,,,,010631,"Birds; live, birds of prey",1,No Quantity,0,,,,14,,23700,,,0
H5,2018,2018,2018,6,1,1,Import,392,Japan,JPN,124,Canada,CAN,,,,,,,,010631,"Birds; live, birds of prey",1,No Quantity,0,,,,1,,7311,,,2
H5,2019,2019,2019,6,1,1,Import,392,Japan,JPN,124,Canada,CAN,,,,,,,,010631,"Birds; live, birds of prey",1,No Quantity,0,,,,4,,16092,,,2
H5,2017,2017,2017,6,1,1,Import,392,Japan,JPN,124,Canada,CAN,,,,,,,,010690,"Animals; live, n.e.c. in chapter 01, other than mammals, reptiles, birds and insects",1,No Quantity,0,,,,46,,73384,,,0
H5,2018,2018,2018,6,1,1,Import,392,Japan,JPN,124,Canada,CAN,,,,,,,,010690,"Animals; live, n.e.c. in chapter 01, other than mammals, reptiles, birds and insects",1,No Quantity,0,,,,17,,48200,,,2
H5,2019,2019,2019,6,1,1,Import,392,Japan,JPN,124,Canada,CAN,,,,,,,,010690,"Animals; live, n.e.c. in chapter 01, other than mammals, reptiles, birds and insects",1,No Quantity,0,,,,6,,50175,,,2
H5,2017,2017,2017,6,1,1,Import,392,Japan,JPN,124,Canada,CAN,,,,,,,,020120,"Meat; of bovine animals, cuts with bone in (excluding carcasses and half-carcasses), fresh or chilled",8,Weight in kilograms,3399,,,,3399,,43139,,,0
