HS6,description,rate_for_canada_TPP,rate_for_china,rate_for_EU28 ,rate_for_USA_OLD,rate_for_ROW
020319,*Fresh or chilled pork,1,1.2941,1.2941,1.2941,1.2941
020329,*Frozen pork,1,1.4114,1.4114,1.4114,1.4114
020230,"*Frozen, boneless beef",1.09,1.385,1.385,1.385,1.385
020649,*Frozen pork products,1,1.6151,1.6235,1.6235,1.6235
020130,*Fresh or chilled boneless beef,1.09,1.385,1.385,1.385,1.385
071332,"*Dried shelled 'Adzuki' beans",1,2.6328,2.6328,2.6328,2.6328
440710,"Coniferous wood sawn or chipped lengthwise, sliced or peeled",1,1.0144,1.024,1.024,1.024
071310,"*Dried, shelled peas",1,2.4147,2.4247,2.4247,2.4247
020610,*Fresh or chilled edible offal of beef,1.0225,1.2422,1.2422,1.2422,1.2422
020629,Frozen beef offal,1.03,1.2803,1.2803,1.2803,1.2803
160249,*Prepared or preserved meat and offal of pork,1,1.0712,1.0712,1.0712,1.0712
020322,*Frozen bone-in ham,1,1.5167,1.5167,1.5167,1.5167
081190,*Frozen fruit and nuts,1,1.0932,1.1218,1.1218,1.1218
441012,"Oriented strand board ""OSB"", of wood",1,1.034,1.0567,1.0567,1.0567
350300,Gelatin,1,1.085,1.1002,1.1002,1.1002
620193,Men's windbreakers,1,1.1095,1.1095,1.1095,1.1095
200410,"*Frozen potatoes, prepared or preserved",1,1.1037,1.1037,1.1037,1.1037
750210,"Nickel, not alloyed, unwrought",1,1.0157,1.0261,1.0261,1.0261
170220,Maple sugar and maple syrup,1,1.0945,1.0945,1.0945,1.0945
20910,"*Pig fat, fresh, chilled, frozen, salted etc.",1,1.03,1.06,1.06,1.06
40900,Natural honey,1,1.255,1.255,1.255,1.255
620293,Women's windbreakers,1,1.1095,1.1095,1.1095,1.1095
71333,"*Dried, shelled kidney beans",1,1.8428,1.8528,1.8528,1.8528
20621,Frozen beef tongues,1,1.128,1.128,1.128,1.128
750400,"Powders and flakes, of nickel (excl. nickel oxide sinters)",1,1,1.0166,1.0166,1.0166
10129,Live horses,1,1.0624,1.0624,1.0624,1.0624
420212,"Suitcases, briefcases and similar",1,1.0953,1.0953,1.0953,1.0953
282911,Chlorate of sodium,1,1,1.033,1.033,1.033
611020,Cotton sweaters,1,1.103,1.103,1.103,1.103
30520,Dried fish livers,1,1.0588,1.0644,1.0644,1.0644
410150,Beef/horse hides,1,1.075,1.075,1.075,1.075
151419,Canola oil erucic acid < 2%,1,1.079,1.079,1.079,1.079
640419,"Rubber soled footwear, plastic uppers",1.1098,1.6505,1.6505,1.6505,1.6505
30389,Frozen fish,1,1.0446,1.0446,1.0446,1.0446
71339,"*Dried, shelled beans",1,1.0575,1.065,1.065,1.065
190590,"*Bread, pastry, cakes",1.0551,1.1386,1.1778,1.1778,1.1778
151411,Crude canola oil erucic acid < 2%,1,1.0971,1.0971,1.0971,1.0971
392690,Plastics 3901-3914,1,1.0104,1.026,1.026,1.026
30390,Frozen fish livers,1,1.039,1.039,1.039,1.039
20220,*Frozen bone-in beef,1.09,1.385,1.385,1.385,1.385
390190,Ethylene polymers,1,1.0056,1.028,1.028,1.028
190531,Sweet biscuits,1,1.204,1.204,1.204,1.204
284990,Carbides,1,1,1.025,1.025,1.025
