HScode,hasEstimatedGain,tariffRate,BCgain,ABgain,SKgain,MBgain,ROCgain,CAgain,JPgain,MLgain,MXgain,NZgain,CNgain,EUgain,USgain,BCgainPercent,ABgainPercent,SKgainPercent,MBgainPercent,CAgainPercent,ROCgainPercent,initialTariffRate,description
020319,TRUE,0,54853000,254658000,151000,372647000,566644000,1248953000,-297534000,0,-21431000,0,0,-325000,-360546000,2.68,1.87,4.6,1.31,2.05,3.37,0.29,"Meat; of swine, n.e.c. in item no. 0203.1, fresh or chilled"
020329,TRUE,0,68507000,103890000,125000,232751000,599052000,1004325000,-208113000,0,-48733000,0,0,-264156000,-61758000,7.57,5.03,12.21,4.52,6.03,7.01,0.41,"Meat; of swine, n.e.c. in item no. 0203.2, frozen"
750400,TRUE,0,0,586000,0,0,6868000,7455000,-3620000,0,0,0,-188000,-475000,-118000,0,0.11,0,0,0.09,0.09,0.02,Nickel; powders and flakes
020230,TRUE,0.09,47000,135170000,0,81000,50671000,185969000,-131021000,0,-1570000,234984000,0,-316000,-42548000,5.96,3.4,0,5.72,3.82,5.67,0.38,"Meat; of bovine animals, boneless cuts, frozen"
441012,TRUE,0,13142000,69000,515000,0,4000,13730000,-3366000,-8000,0,0,-19000,-1729000,-21000,0.3,0.33,0.33,0,0.3,0.33,0.06,"Oriented strand board (OSB) of wood, whether or not agglomerated with resins or other organic binding substances"
030616,TRUE,0,237000,0,0,0,275000,512000,-144000,0,0,0,-1000,-1000,-1000,0.03,0,0,0,0.04,0.04,0.01,"Crustaceans; frozen, cold-water shrimps and prawns (Pandalus spp., Crangon crangon), in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water"
750210,TRUE,0,0,3254000,0,975000,5882000,10111000,-3913000,0,0,0,-18000,-247000,0,0,0.23,0,0.23,0.23,0.23,0.03,"Nickel; unwrought, not alloyed"
020910,TRUE,0,173000,1314000,0,1366000,5751000,8605000,-3157000,0,-241000,0,0,-506000,-158000,0.23,0.21,0,0.3,0.28,0.3,0.06,"Fat; pig fat, free of lean meat, not rendered or otherwise extracted, fresh, chilled, frozen, salted, in brine, dried or smoked"
020610,TRUE,0.02,2000,29097000,0,21000,10239000,39359000,-13751000,0,-57000,3478000,-0,-3000,-10683000,3.14,1.86,0,2.47,1.94,2.24,0.24,"Offal, edible; of bovine animals, fresh or chilled"
020130,TRUE,0.09,15000,66036000,0,0,42627000,108678000,-91579000,0,-993000,171451000,0,-52000,-36073000,5.61,4.82,0,5.07,4.9,5.01,0.38,"Meat; of bovine animals, boneless cuts, fresh or chilled"
030520,TRUE,0,2641000,0,0,8000,0,2649000,-763000,0,0,0,-29000,-34000,-74000,0.17,0,0,0.18,0.17,0.28,0.06,"Fish; livers, roes and milt of fish, dried, smoked, salted or in brine"
081190,TRUE,0,6085000,14000,0,20000,8706000,14825000,-4500000,-0,-42000,863000,-220000,-102000,-174000,0.53,0.56,0,0.56,0.54,0.54,0.12,"Fruit, edible; fruit and nuts n.e.c. in heading no. 0811, uncooked or cooked, frozen whether or not containing added sugar or other sweetening matter"
