HScode,TradeValue,Description,hasGain,Tariff before CPTPP,Japan Rate for Canada TPP,ROC Gain - No Export Promotion,BC Gain - no export promotion,AB Gain - no export promotion,SK Gain - no export promotion,MB Gain - no export promotion,Western Canada Gain - no export promotion,Total Canada Gain - no export promotion,ROC Gain %,BC%,AB%,SK%,MB%,Western Canada Gain %,Total Canada Gain %
090122,2293,"Coffee; roasted, decaffeinated",TRUE,0.12,1,8,736,,,,736,744,54.8,50.4,0,,,50,50
030569,2844,"Fish; salted or in brine, not dried or smoked, other than edible fish offal, n.e.c. in item no. 0305.6",TRUE,0.098,1,,39,,,,39,39,0,38.6,0,,,39,39
640399,3302,"Footwear; n.e.c. in heading no. 6403, (not covering the ankle), outer soles of rubber, plastics or composition leather, uppers of leather",TRUE,0.398,1,713,41,,,,41,754,1490.8,1504.1,0,,,1504,1492
090230,4559,"Tea, black; (fermented) and partly fermented tea, in immediate packings of a content not exceeding 3kg",TRUE,0.145,1,42,9,,,,9,51,71.8,71.8,0,,,72,72
220299,7669,"Non-alcoholic beverages; other than non-alcoholic beer, n.e.c. in item no. 2202.10, not including fruit or vegetable juices of heading no. 2009",TRUE,0.115,1,14,2,,,,2,16,28.5,28.5,0,,,28,28
610990,9605,"T-shirts, singlets and other vests; of textile materials (other than cotton), knitted or crocheted",TRUE,0.0915,1,17,85,,,,85,102,101.5,103.8,0,,,104,103
220410,9697,Wine; sparkling,TRUE,0.2879,1,62,35,4,,,39,101,78.9,78.9,79,,,79,79
151319,10385,"Vegetable oils; coconut (copra) oil and its fractions, other than crude, whether or not refined, but not chemically modified",TRUE,0.045,1,,,,31,7,39,39,0,,0,34.3,34.1,34,34
190532,11431,"Food preparations; waffles and wafers, whether or not containing cocoa",TRUE,0.18,1,7,45,8,,,54,60,93.3,93.6,94,,,94,94
640192,12926,"Footwear; waterproof, covering the ankle (but not the knee), rubber or plastic outer soles and uppers (not assembled by stitch, rivet, nail, screw, plug or similar)",TRUE,0.1685,1,168,1,,,,1,169,250.7,258.3,0,,,258,251
200799,13339,"Jams, fruit jellies, marmalades, purees and pastes; of fruit or nuts n.e.c. in heading no. 2007, cooked preparations (excluding homogenised), whether or not containing added sugar or other sweetening matter",TRUE,0.2103,1,113,12,,,,12,125,113.7,113.7,0,,,114,114
620462,15560,"Trousers, bib and brace overalls, breeches and shorts; women's or girls', of cotton (not knitted or crocheted)",TRUE,0.0955,1,58,1,,,18,20,77,103.7,107.3,0,,101.9,102,103
430310,18835,Furskin articles; apparel and clothing accessories,TRUE,0.2,1,179,1,,,0,2,181,282.7,284.5,0,,284.5,284,283
640419,20110,"Footwear; (other than sportswear), with outer soles of rubber or plastics and uppers of textile materials",TRUE,0.6505,1.1098,2140,0,,,,0,2141,2410,2482.7,0,,,2483,2410
392520,29009,"Plastics; builders' ware, doors, windows and their frames and thresholds for doors",TRUE,0.039,1,0,14,1,,,14,15,28.7,28.7,29,,,29,29
151710,35633,Margarine; excluding liquid margarine,TRUE,0.298,1,,4,703,,,707,707,0,333.8,242,,,242,242
220710,36560,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,TRUE,0.0226,1,,,4,,,4,4,0,,5,,,5,5
620342,39349,"Trousers, bib and brace overalls, breeches and shorts; men's or boys', of cotton (not knitted or crocheted)",TRUE,0.0955,1,51,14,,,0,14,66,103,110,0,,101.6,110,104
020742,40221,"Meat and edible offal; of ducks, not cut in pieces, frozen",TRUE,0.096,1,345,,19,,,19,364,103.1,,105,,,105,103
382440,40615,"Cements, mortars or concretes; their prepared additives",TRUE,0.026,1,,16,,,,16,16,0,16,0,,,16,16
420310,60295,"Apparel; articles of apparel, of leather or of composition leather",TRUE,0.13,1,229,0,0,,,0,229,146,149.9,149,,,150,146
441239,79231,"Plywood; consisting only of sheets of wood (not bamboo), each ply 6mm or thinner, with both outer plies of coniferous wood",TRUE,0.06,1,,314,,,,314,314,0,40.5,0,,,40,40
330749,84882,"Perfumes and deodorizers; perfuming or deodorizing preparations for rooms, (excluding those which operate by burning)",TRUE,0.039,1,75,15,,,,15,90,28.6,28.5,0,,,28,29
330129,85121,"Oils, essential; n.e.c. in heading no. 3301 (terpeneless or not), including concretes and absolutes",TRUE,0.0154,1,5,10,,,,10,15,10.6,10.5,0,,,11,11
711319,85130,"Jewellery; of precious metal (excluding silver) whether or not plated or clad with precious metal, and parts thereof",TRUE,0.0533,1,306,13,34,,,47,353,47.7,47.7,48,,,48,48
621133,101965,"Track suits and other garments n.e.c.; men's or boys', of man-made fibres (not knitted or crocheted)",TRUE,0.1095,1,49,73,0,,,73,121,117,116.4,118,,,116,117
150600,104057,"Animal fats and oils and their fractions; whether or not refined, but not chemically modified, n.e.c. in chapter 15",TRUE,0.064,1,23,,67,,,67,90,63.4,,59,,,59,60
420500,105158,"Leather articles; n.e.c. in chapter 42, of leather or composition leather",TRUE,0.1043,1,306,0,16,,0,16,323,119.5,122.5,111,,122.5,112,119
081030,106764,"Fruit, edible; black, white or red currants and gooseberries, fresh",TRUE,0.06,1,,11,,,,11,11,0,13.4,0,,,13,13
051191,109250,"Animal products; of fish or crustaceans, molluscs or other aquatic invertebrates; dead animals of chapter 03, unfit for human consumption",TRUE,0.0043,1,0,2,,,,2,2,1.7,1.7,0,,,2,2
611030,110956,"Jerseys, pullovers, cardigans, waistcoats and similar articles; of man-made fibres, knitted or crocheted",TRUE,0.1045,1,86,57,1,,1,58,145,118.2,125.9,124,,119.5,126,121
761090,121479,"Aluminium; structures (excluding prefabricated buildings of heading no. 9406) and parts of structures, n.e.c. in heading no. 7610, plates, rods, profiles, tubes and the like",TRUE,0.03,1,12,9,0,,,9,20,24.8,24.9,24,,,25,25
071340,129553,"Vegetables, leguminous; lentils, shelled, whether or not skinned or split, dried",TRUE,0.0425,1,1,1,,16,,17,18,16.5,16.4,0,16.5,,16,16
170410,131342,"Sugar confectionery; chewing gum, whether or not sugar-coated, not containing cocoa",TRUE,0.24,1,135,,,,,,135,134.2,,0,,,0,134
081340,139214,"Fruit, edible; fruit n.e.c. in heading no. 0812, dried",TRUE,0.087,1,7,20,,,,20,27,36,35.5,0,,,35,36
621020,139645,"Garments; overcoats, raincoats, car-coats, capes, cloaks and similar articles, men's or boys', of the fabrics of heading no. 5602, 5603, 5903, 5906 or 5907 (not knitted or crocheted)",TRUE,0.0955,1,0,88,,,,88,88,104.7,103.1,0,,,103,103
160300,147755,"Extracts and juices; of meat, fish or crustaceans, molluscs or other aquatic invertebrates",TRUE,0.108,1,78,,,,,,78,142.1,,0,,,0,142
611430,155297,"Garments; of man-made fibres, knitted or crocheted, n.e.c. in chapter 61",TRUE,0.081,1,116,134,3,,,137,253,85.6,92.1,86,,,92,89
090121,167829,"Coffee; roasted, not decaffeinated",TRUE,0.12,1,473,57,,,,57,530,57.2,57.2,0,,,57,57
030481,177215,"Fish fillets; frozen, salmon, Pacific (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou, Oncorhynchus rhodurus), Atlantic (Salmo salar), and Danube (Hucho hucho)",TRUE,0.035,1,,80,,,,80,80,0,14.7,0,,,15,15
160411,177637,"Fish preparations; salmon, prepared or preserved, whole or in pieces (but not minced)",TRUE,0.096,1,71,139,,,,139,210,44.1,44.2,0,,,44,44
610120,203472,"Coats; men's or boys' overcoats, car-coats, capes, anoraks, wind-jackets and similar articles, of cotton, knitted or crocheted (excluding those of heading no. 6103)",TRUE,0.109,1,65,152,,,,152,217,129.5,130.6,0,,,131,130
151590,213408,"Vegetable fats and oils and their fractions; fixed, n.e.c. in heading no. 1515, whether or not refined, but not chemically modified",TRUE,0.0169,1,3,7,5,7,12,31,35,11.7,11.7,12,11.6,11.6,12,12
030399,213555,"Fish; frozen, fish fins (other than shark fins), heads, tails, maws and other edible fish offal",TRUE,0.0422,1,,5,,,,5,5,0,16.5,0,,,16,16
030822,214271,"Aquatic invertebrates; sea urchins (Strongylocentrotus spp., Paracentrotus lividus, Loxechinus albus, Echinus esculentus), frozen",TRUE,0.07,1,,19,,,,19,19,0,22.6,0,,,23,23
151499,215500,"Vegetable oils; excluding low erucic acid rape or colza oil and its fractions, other than crude, but not chemically modified",TRUE,0.0479,1,6,137,,67,,204,210,30,21.7,0,27.2,,23,23
420292,220638,"Cases and containers; n.e.c. in heading 4202, with outer surface of sheeting of plastics or of textile materials",TRUE,0.08,1,84,178,1,,0,180,263,87.8,88.5,89,,88.5,88,88
151790,235702,"Edible mixtures or preparations of animal or vegetable fats or oils or of fractions of different fats or oils of this chapter, other than edible fats or oils of heading no. 1516",TRUE,0.0792,1,1,112,,,,112,113,99.5,85.1,0,,,85,85
610443,245785,"Dresses; women's or girls', of synthetic fibres, knitted or crocheted",TRUE,0.109,1,100,0,,,,0,100,123,143.6,0,,,144,123
